,id,code,name,population,prevalence,incidence_7,prevalence_100k,incidence_7_100k,country
0,AT-101,101,Eisenstadt(Stadt),15374,,73,,474.8276310654351,Austria
1,AT-102,102,Rust(Stadt),2021,,5,,247.4022761009401,Austria
2,AT-103,103,Eisenstadt-Umgebung,44488,,233,,523.7367379967632,Austria
3,AT-104,104,GÃ¼ssing,25809,,95,,368.0886512456895,Austria
4,AT-105,105,Jennersdorf,17216,,59,,342.7044609665428,Austria
5,AT-106,106,Mattersburg,40731,,195,,478.75082860720335,Austria
6,AT-107,107,Neusiedl am See,61358,,356,,580.2014407249258,Austria
7,AT-108,108,Oberpullendorf,37556,,190,,505.9111726488444,Austria
8,AT-109,109,Oberwart,54682,,272,,497.4214549577557,Austria
9,AT-201,201,Klagenfurt Stadt,103297,,257,,248.79715771029169,Austria
10,AT-202,202,Villach Stadt,64125,,141,,219.88304093567254,Austria
11,AT-203,203,Hermagor,18069,,49,,271.1826885826554,Austria
12,AT-204,204,Klagenfurt Land,61114,,140,,229.0800798507707,Austria
13,AT-205,205,Sankt Veit an der Glan,53953,,110,,203.88115582080698,Austria
14,AT-206,206,Spittal an der Drau,75725,,140,,184.87949818421922,Austria
15,AT-207,207,Villach Land,65635,,148,,225.4894492267845,Austria
16,AT-208,208,VÃ¶lkermarkt,41947,,100,,238.3960712327461,Austria
17,AT-209,209,Wolfsberg,52352,,105,,200.5654034229829,Austria
18,AT-210,210,Feldkirchen,29949,,37,,123.54335704030184,Austria
19,AT-301,301,Krems an der Donau(Stadt),24930,,105,,421.17930204572804,Austria
20,AT-302,302,Sankt PÃ¶lten(Stadt),56697,,322,,567.9312838421786,Austria
21,AT-303,303,Waidhofen an der Ybbs(Stadt),11187,,47,,420.13050862608384,Austria
22,AT-304,304,Wiener Neustadt(Stadt),47407,,200,,421.87862551943806,Austria
23,AT-305,305,Amstetten,117442,,383,,326.1184244137532,Austria
24,AT-306,306,Baden,148765,,801,,538.4330991832757,Austria
25,AT-307,307,Bruck an der Leitha,107297,,615,,573.1753916698509,Austria
26,AT-308,308,GÃ¤nserndorf,107504,,641,,596.2568834648013,Austria
27,AT-309,309,GmÃ¼nd,36152,,64,,177.03031644169064,Austria
