,id,code,name,population,prevalence,incidence_7,prevalence_100k,incidence_7_100k,country,state
0,DE-01001,01001,SK Flensburg,90164,,,,84.29,Germany,Schleswig-Holstein
1,DE-01002,01002,SK Kiel,246794,,,,38.49,Germany,Schleswig-Holstein
2,DE-01003,01003,SK Lübeck,216530,,,,28.63,Germany,Schleswig-Holstein
3,DE-01004,01004,SK Neumünster,80196,,,,54.87,Germany,Schleswig-Holstein
4,DE-01051,01051,LK Dithmarschen,133193,,,,12.01,Germany,Schleswig-Holstein
5,DE-01053,01053,LK Herzogtum Lauenburg,198019,,,,70.7,Germany,Schleswig-Holstein
6,DE-01054,01054,LK Nordfriesland,165951,,,,28.32,Germany,Schleswig-Holstein
7,DE-01055,01055,LK Ostholstein,200539,,,,34.41,Germany,Schleswig-Holstein
8,DE-01056,01056,LK Pinneberg,316103,,,,44.29,Germany,Schleswig-Holstein
9,DE-01057,01057,LK Plön,128686,,,,23.31,Germany,Schleswig-Holstein
10,DE-01058,01058,LK Rendsburg-Eckernförde,274098,,,,39.4,Germany,Schleswig-Holstein
11,DE-01059,01059,LK Schleswig-Flensburg,201156,,,,50.71,Germany,Schleswig-Holstein
12,DE-01060,01060,LK Segeberg,277175,,,,74.32,Germany,Schleswig-Holstein
13,DE-01061,01061,LK Steinburg,131013,,,,20.61,Germany,Schleswig-Holstein
14,DE-01062,01062,LK Stormarn,244156,,,,75.77,Germany,Schleswig-Holstein
15,DE-02000,02000,SK Hamburg,1847253,,,,66.1,Germany,Hamburg
16,DE-03101,03101,SK Braunschweig,249406,,,,50.52,Germany,Niedersachsen
17,DE-03102,03102,SK Salzgitter,104291,,,,85.34,Germany,Niedersachsen
18,DE-03103,03103,SK Wolfsburg,124371,,,,46.63,Germany,Niedersachsen
19,DE-03151,03151,LK Gifhorn,176523,,,,44.19,Germany,Niedersachsen
20,DE-03153,03153,LK Goslar,136292,,,,26.41,Germany,Niedersachsen
21,DE-03154,03154,LK Helmstedt,91297,,,,20.81,Germany,Niedersachsen
22,DE-03155,03155,LK Northeim,132285,,,,21.92,Germany,Niedersachsen
23,DE-03157,03157,LK Peine,134801,,,,126.85,Germany,Niedersachsen
24,DE-03158,03158,LK Wolfenbüttel,119622,,,,50.16,Germany,Niedersachsen
25,DE-03159,03159,LK Göttingen,326041,,,,32.82,Germany,Niedersachsen
26,DE-03241,03241,Region Hannover,1157115,,,,99.47,Germany,Niedersachsen
27,DE-03251,03251,LK Diepholz,217089,,,,32.24,Germany,Niedersachsen
28,DE-03252,03252,LK Hameln-Pyrmont,148549,,,,78.76,Germany,Niedersachsen
29,DE-03254,03254,LK Hildesheim,275817,,,,52.21,Germany,Niedersachsen
30,DE-03255,03255,LK Holzminden,70458,,,,55.35,Germany,Niedersachsen
31,DE-03256,03256,LK Nienburg (Weser),121390,,,,40.37,Germany,Niedersachsen
32,DE-03257,03257,LK Schaumburg,157820,,,,71.6,Germany,Niedersachsen
33,DE-03351,03351,LK Celle,179011,,,,73.18,Germany,Niedersachsen
34,DE-03352,03352,LK Cuxhaven,198038,,,,43.93,Germany,Niedersachsen
35,DE-03353,03353,LK Harburg,254431,,,,73.89,Germany,Niedersachsen
36,DE-03354,03354,LK Lüchow-Dannenberg,48412,,,,16.52,Germany,Niedersachsen
37,DE-03355,03355,LK Lüneburg,184139,,,,28.24,Germany,Niedersachsen
38,DE-03356,03356,LK Osterholz,113928,,,,33.35,Germany,Niedersachsen
39,DE-03357,03357,LK Rotenburg (Wümme),163782,,,,40.91,Germany,Niedersachsen
40,DE-03358,03358,LK Heidekreis,140673,,,,17.77,Germany,Niedersachsen
41,DE-03359,03359,LK Stade,204512,,,,54.28,Germany,Niedersachsen
42,DE-03360,03360,LK Uelzen,92389,,,,44.38,Germany,Niedersachsen
43,DE-03361,03361,LK Verden,137133,,,,37.92,Germany,Niedersachsen
44,DE-03401,03401,SK Delmenhorst,77559,,,,72.2,Germany,Niedersachsen
45,DE-03402,03402,SK Emden,49913,,,,48.08,Germany,Niedersachsen
46,DE-03403,03403,SK Oldenburg,169077,,,,50.27,Germany,Niedersachsen
47,DE-03404,03404,SK Osnabrück,165251,,,,82.3,Germany,Niedersachsen
48,DE-03405,03405,SK Wilhelmshaven,76089,,,,30.23,Germany,Niedersachsen
49,DE-03451,03451,LK Ammerland,124859,,,,68.88,Germany,Niedersachsen
50,DE-03452,03452,LK Aurich,189694,,,,24.25,Germany,Niedersachsen
51,DE-03453,03453,LK Cloppenburg,170682,,,,112.49,Germany,Niedersachsen
52,DE-03454,03454,LK Emsland,326954,,,,61.17,Germany,Niedersachsen
53,DE-03455,03455,LK Friesland,98704,,,,29.38,Germany,Niedersachsen
54,DE-03456,03456,LK Grafschaft Bentheim,137162,,,,86.03,Germany,Niedersachsen
55,DE-03457,03457,LK Leer,170756,,,,108.93,Germany,Niedersachsen
56,DE-03458,03458,LK Oldenburg,130890,,,,49.66,Germany,Niedersachsen
57,DE-03459,03459,LK Osnabrück,358080,,,,60.32,Germany,Niedersachsen
58,DE-03460,03460,LK Vechta,142814,,,,116.24,Germany,Niedersachsen
59,DE-03461,03461,LK Wesermarsch,88583,,,,97.08,Germany,Niedersachsen
60,DE-03462,03462,LK Wittmund,56926,,,,22.84,Germany,Niedersachsen
61,DE-04011,04011,SK Bremen,567559,,,,58.5,Germany,Bremen
62,DE-04012,04012,SK Bremerhaven,113643,,,,68.64,Germany,Bremen
63,DE-05111,05111,SK Düsseldorf,621877,,,,52.74,Germany,Nordrhein-Westfalen
64,DE-05112,05112,SK Duisburg,498686,,,,105.28,Germany,Nordrhein-Westfalen
65,DE-05113,05113,SK Essen,582760,,,,62.12,Germany,Nordrhein-Westfalen
66,DE-05114,05114,SK Krefeld,227417,,,,72.11,Germany,Nordrhein-Westfalen
67,DE-05116,05116,SK Mönchengladbach,261034,,,,41.76,Germany,Nordrhein-Westfalen
68,DE-05117,05117,SK Mülheim a.d.Ruhr,170632,,,,47.47,Germany,Nordrhein-Westfalen
69,DE-05119,05119,SK Oberhausen,210764,,,,85.4,Germany,Nordrhein-Westfalen
70,DE-05120,05120,SK Remscheid,111338,,,,120.35,Germany,Nordrhein-Westfalen
71,DE-05122,05122,SK Solingen,159245,,,,87.91,Germany,Nordrhein-Westfalen
72,DE-05124,05124,SK Wuppertal,355100,,,,92.37,Germany,Nordrhein-Westfalen
73,DE-05154,05154,LK Kleve,312465,,,,97.93,Germany,Nordrhein-Westfalen
74,DE-05158,05158,LK Mettmann,485570,,,,74.96,Germany,Nordrhein-Westfalen
75,DE-05162,05162,LK Rhein-Kreis Neuss,451730,,,,49.37,Germany,Nordrhein-Westfalen
76,DE-05166,05166,LK Viersen,298863,,,,63.24,Germany,Nordrhein-Westfalen
77,DE-05170,05170,LK Wesel,459976,,,,50.44,Germany,Nordrhein-Westfalen
78,DE-05314,05314,SK Bonn,329673,,,,60.67,Germany,Nordrhein-Westfalen
79,DE-05315,05315,SK Köln,1087863,,,,72.62,Germany,Nordrhein-Westfalen
80,DE-05316,05316,SK Leverkusen,163729,,,,65.96,Germany,Nordrhein-Westfalen
81,DE-05334,05334,StadtRegion Aachen,557026,,,,77.2,Germany,Nordrhein-Westfalen
82,DE-05358,05358,LK Düren,264638,,,,130.37,Germany,Nordrhein-Westfalen
83,DE-05362,05362,LK Rhein-Erft-Kreis,470615,,,,80.96,Germany,Nordrhein-Westfalen
84,DE-05366,05366,LK Euskirchen,193656,,,,39.24,Germany,Nordrhein-Westfalen
85,DE-05370,05370,LK Heinsberg,255555,,,,43.04,Germany,Nordrhein-Westfalen
86,DE-05374,05374,LK Oberbergischer Kreis,272057,,,,105.49,Germany,Nordrhein-Westfalen
87,DE-05378,05378,LK Rheinisch-Bergischer Kreis,283271,,,,60.01,Germany,Nordrhein-Westfalen
88,DE-05382,05382,LK Rhein-Sieg-Kreis,600764,,,,50.94,Germany,Nordrhein-Westfalen
89,DE-05512,05512,SK Bottrop,117565,,,,39.13,Germany,Nordrhein-Westfalen
90,DE-05513,05513,SK Gelsenkirchen,259645,,,,81.26,Germany,Nordrhein-Westfalen
91,DE-05515,05515,SK Münster,315293,,,,47.26,Germany,Nordrhein-Westfalen
92,DE-05554,05554,LK Borken,371339,,,,79.17,Germany,Nordrhein-Westfalen
93,DE-05558,05558,LK Coesfeld,220586,,,,39.89,Germany,Nordrhein-Westfalen
94,DE-05562,05562,LK Recklinghausen,614137,,,,63.5,Germany,Nordrhein-Westfalen
95,DE-05566,05566,LK Steinfurt,448220,,,,60.91,Germany,Nordrhein-Westfalen
96,DE-05570,05570,LK Warendorf,277840,,,,53.27,Germany,Nordrhein-Westfalen
97,DE-05711,05711,SK Bielefeld,334195,,,,33.21,Germany,Nordrhein-Westfalen
98,DE-05754,05754,LK Gütersloh,364938,,,,63.3,Germany,Nordrhein-Westfalen
99,DE-05758,05758,LK Herford,250578,,,,81.81,Germany,Nordrhein-Westfalen
100,DE-05762,05762,LK Höxter,140251,,,,33.51,Germany,Nordrhein-Westfalen
101,DE-05766,05766,LK Lippe,347514,,,,56.4,Germany,Nordrhein-Westfalen
102,DE-05770,05770,LK Minden-Lübbecke,310409,,,,82.15,Germany,Nordrhein-Westfalen
103,DE-05774,05774,LK Paderborn,307839,,,,36.06,Germany,Nordrhein-Westfalen
104,DE-05911,05911,SK Bochum,365587,,,,61.54,Germany,Nordrhein-Westfalen
105,DE-05913,05913,SK Dortmund,588250,,,,60.01,Germany,Nordrhein-Westfalen
106,DE-05914,05914,SK Hagen,188686,,,,108.65,Germany,Nordrhein-Westfalen
107,DE-05915,05915,SK Hamm,179916,,,,114.5,Germany,Nordrhein-Westfalen
108,DE-05916,05916,SK Herne,156449,,,,132.95,Germany,Nordrhein-Westfalen
109,DE-05954,05954,LK Ennepe-Ruhr-Kreis,324106,,,,53.38,Germany,Nordrhein-Westfalen
110,DE-05958,05958,LK Hochsauerlandkreis,259777,,,,75.45,Germany,Nordrhein-Westfalen
111,DE-05962,05962,LK Märkischer Kreis,410222,,,,141.39,Germany,Nordrhein-Westfalen
112,DE-05966,05966,LK Olpe,133955,,,,70.17,Germany,Nordrhein-Westfalen
113,DE-05970,05970,LK Siegen-Wittgenstein,276944,,,,103.27,Germany,Nordrhein-Westfalen
114,DE-05974,05974,LK Soest,301785,,,,58.65,Germany,Nordrhein-Westfalen
115,DE-05978,05978,LK Unna,394891,,,,56.47,Germany,Nordrhein-Westfalen
116,DE-06411,06411,SK Darmstadt,159878,,,,57.54,Germany,Hessen
117,DE-06412,06412,SK Frankfurt am Main,763380,,,,75.45,Germany,Hessen
118,DE-06413,06413,SK Offenbach,130280,,,,131.26,Germany,Hessen
119,DE-06414,06414,SK Wiesbaden,278474,,,,63.56,Germany,Hessen
120,DE-06431,06431,LK Bergstraße,270340,,,,68.43,Germany,Hessen
121,DE-06432,06432,LK Darmstadt-Dieburg,297844,,,,48.68,Germany,Hessen
122,DE-06433,06433,LK Groß-Gerau,275726,,,,78.34,Germany,Hessen
123,DE-06434,06434,LK Hochtaunuskreis,236914,,,,77.24,Germany,Hessen
124,DE-06435,06435,LK Main-Kinzig-Kreis,420552,,,,95.83,Germany,Hessen
125,DE-06436,06436,LK Main-Taunus-Kreis,238558,,,,51.56,Germany,Hessen
126,DE-06437,06437,LK Odenwaldkreis,96703,,,,55.84,Germany,Hessen
127,DE-06438,06438,LK Offenbach,355813,,,,88.25,Germany,Hessen
128,DE-06439,06439,LK Rheingau-Taunus-Kreis,187160,,,,60.38,Germany,Hessen
129,DE-06440,06440,LK Wetteraukreis,308339,,,,69.73,Germany,Hessen
130,DE-06531,06531,LK Gießen,270688,,,,79.06,Germany,Hessen
131,DE-06532,06532,LK Lahn-Dill-Kreis,253319,,,,112.51,Germany,Hessen
132,DE-06533,06533,LK Limburg-Weilburg,171912,,,,69.8,Germany,Hessen
133,DE-06534,06534,LK Marburg-Biedenkopf,247084,,,,88.23,Germany,Hessen
134,DE-06535,06535,LK Vogelsbergkreis,105643,,,,32.18,Germany,Hessen
135,DE-06611,06611,SK Kassel,202137,,,,56.89,Germany,Hessen
136,DE-06631,06631,LK Fulda,223145,,,,108.9,Germany,Hessen
137,DE-06632,06632,LK Hersfeld-Rotenburg,120719,,,,78.7,Germany,Hessen
138,DE-06633,06633,LK Kassel,236764,,,,37.17,Germany,Hessen
139,DE-06634,06634,LK Schwalm-Eder-Kreis,179673,,,,31.17,Germany,Hessen
140,DE-06635,06635,LK Waldeck-Frankenberg,156406,,,,49.23,Germany,Hessen
141,DE-06636,06636,LK Werra-Meißner-Kreis,100629,,,,57.64,Germany,Hessen
142,DE-07111,07111,SK Koblenz,114052,,,,36.83,Germany,Rheinland-Pfalz
143,DE-07131,07131,LK Ahrweiler,130086,,,,63.04,Germany,Rheinland-Pfalz
144,DE-07132,07132,LK Altenkirchen,128805,,,,97.05,Germany,Rheinland-Pfalz
145,DE-07133,07133,LK Bad Kreuznach,158345,,,,27.16,Germany,Rheinland-Pfalz
146,DE-07134,07134,LK Birkenfeld,80951,,,,50.65,Germany,Rheinland-Pfalz
147,DE-07135,07135,LK Cochem-Zell,61375,,,,21.18,Germany,Rheinland-Pfalz
148,DE-07137,07137,LK Mayen-Koblenz,214434,,,,46.63,Germany,Rheinland-Pfalz
149,DE-07138,07138,LK Neuwied,182811,,,,91.9,Germany,Rheinland-Pfalz
150,DE-07140,07140,LK Rhein-Hunsrück-Kreis,103163,,,,34.9,Germany,Rheinland-Pfalz
151,DE-07141,07141,LK Rhein-Lahn-Kreis,122297,,,,76.86,Germany,Rheinland-Pfalz
152,DE-07143,07143,LK Westerwaldkreis,201904,,,,52.0,Germany,Rheinland-Pfalz
153,DE-07211,07211,SK Trier,111528,,,,19.73,Germany,Rheinland-Pfalz
154,DE-07231,07231,LK Bernkastel-Wittlich,112483,,,,33.78,Germany,Rheinland-Pfalz
155,DE-07232,07232,LK Bitburg-Prüm,99058,,,,36.34,Germany,Rheinland-Pfalz
156,DE-07233,07233,LK Vulkaneifel,60646,,,,46.17,Germany,Rheinland-Pfalz
157,DE-07235,07235,LK Trier-Saarburg,149398,,,,34.14,Germany,Rheinland-Pfalz
158,DE-07311,07311,SK Frankenthal,48762,,,,114.84,Germany,Rheinland-Pfalz
159,DE-07312,07312,SK Kaiserslautern,100030,,,,32.99,Germany,Rheinland-Pfalz
160,DE-07313,07313,SK Landau i.d.Pfalz,46881,,,,36.26,Germany,Rheinland-Pfalz
161,DE-07314,07314,SK Ludwigshafen,172253,,,,54.57,Germany,Rheinland-Pfalz
162,DE-07315,07315,SK Mainz,218578,,,,47.58,Germany,Rheinland-Pfalz
163,DE-07316,07316,SK Neustadt a.d.Weinstraße,53264,,,,15.02,Germany,Rheinland-Pfalz
164,DE-07317,07317,SK Pirmasens,40231,,,,99.43,Germany,Rheinland-Pfalz
165,DE-07318,07318,SK Speyer,50561,,,,29.67,Germany,Rheinland-Pfalz
166,DE-07319,07319,SK Worms,83542,,,,44.29,Germany,Rheinland-Pfalz
167,DE-07320,07320,SK Zweibrücken,34193,,,,29.25,Germany,Rheinland-Pfalz
168,DE-07331,07331,LK Alzey-Worms,129687,,,,35.47,Germany,Rheinland-Pfalz
169,DE-07332,07332,LK Bad Dürkheim,132671,,,,32.41,Germany,Rheinland-Pfalz
170,DE-07333,07333,LK Donnersbergkreis,75325,,,,25.22,Germany,Rheinland-Pfalz
171,DE-07334,07334,LK Germersheim,129013,,,,86.81,Germany,Rheinland-Pfalz
172,DE-07335,07335,LK Kaiserslautern,105979,,,,18.87,Germany,Rheinland-Pfalz
173,DE-07336,07336,LK Kusel,70219,,,,15.67,Germany,Rheinland-Pfalz
174,DE-07337,07337,LK Südliche Weinstraße,110521,,,,57.0,Germany,Rheinland-Pfalz
175,DE-07338,07338,LK Rhein-Pfalz-Kreis,154609,,,,56.92,Germany,Rheinland-Pfalz
176,DE-07339,07339,LK Mainz-Bingen,211417,,,,37.84,Germany,Rheinland-Pfalz
177,DE-07340,07340,LK Südwestpfalz,94831,,,,70.65,Germany,Rheinland-Pfalz
178,DE-08111,08111,SK Stuttgart,635911,,,,70.45,Germany,Baden-Württemberg
179,DE-08115,08115,LK Böblingen,392807,,,,41.5,Germany,Baden-Württemberg
180,DE-08116,08116,LK Esslingen,535024,,,,68.03,Germany,Baden-Württemberg
181,DE-08117,08117,LK Göppingen,258145,,,,83.67,Germany,Baden-Württemberg
182,DE-08118,08118,LK Ludwigsburg,545423,,,,50.05,Germany,Baden-Württemberg
183,DE-08119,08119,LK Rems-Murr-Kreis,427248,,,,42.83,Germany,Baden-Württemberg
184,DE-08121,08121,SK Heilbronn,126592,,,,36.34,Germany,Baden-Württemberg
185,DE-08125,08125,LK Heilbronn,344456,,,,48.48,Germany,Baden-Württemberg
186,DE-08126,08126,LK Hohenlohekreis,112655,,,,94.09,Germany,Baden-Württemberg
187,DE-08127,08127,LK Schwäbisch Hall,196761,,,,192.62,Germany,Baden-Württemberg
188,DE-08128,08128,LK Main-Tauber-Kreis,132399,,,,54.38,Germany,Baden-Württemberg
189,DE-08135,08135,LK Heidenheim,132777,,,,43.68,Germany,Baden-Württemberg
190,DE-08136,08136,LK Ostalbkreis,314025,,,,50.63,Germany,Baden-Württemberg
191,DE-08211,08211,SK Baden-Baden,55185,,,,43.49,Germany,Baden-Württemberg
192,DE-08212,08212,SK Karlsruhe,312060,,,,85.24,Germany,Baden-Württemberg
193,DE-08215,08215,LK Karlsruhe,445101,,,,75.49,Germany,Baden-Württemberg
194,DE-08216,08216,LK Rastatt,231420,,,,101.11,Germany,Baden-Württemberg
195,DE-08221,08221,SK Heidelberg,161485,,,,51.4,Germany,Baden-Württemberg
196,DE-08222,08222,SK Mannheim,310658,,,,96.57,Germany,Baden-Württemberg
197,DE-08225,08225,LK Neckar-Odenwald-Kreis,143633,,,,49.43,Germany,Baden-Württemberg
198,DE-08226,08226,LK Rhein-Neckar-Kreis,548355,,,,35.56,Germany,Baden-Württemberg
199,DE-08231,08231,SK Pforzheim,125957,,,,30.96,Germany,Baden-Württemberg
200,DE-08235,08235,LK Calw,159201,,,,65.33,Germany,Baden-Württemberg
201,DE-08236,08236,LK Enzkreis,199556,,,,41.59,Germany,Baden-Württemberg
202,DE-08237,08237,LK Freudenstadt,118243,,,,96.41,Germany,Baden-Württemberg
