,id,code,name,population,prevalence,incidence_7,prevalence_100k,incidence_7_100k,country
0,PL-t0201,t0201,bolesławiecki,90293,,270,,299.0265026081756,Poland
1,PL-t0202,t0202,dzierżoniowski,100490,,262,,260.7224599462633,Poland
2,PL-t0203,t0203,głogowski,88929,,168,,188.91475221806158,Poland
3,PL-t0204,t0204,górowski,34759,,26,,74.80077102333209,Poland
4,PL-t0205,t0205,jaworski,50000,,69,,138.0,Poland
5,PL-t0206,t0206,jeleniogórski,63241,,150,,237.18790025458168,Poland
6,PL-t0207,t0207,kamiennogórski,43040,,93,,216.07806691449812,Poland
7,PL-t0208,t0208,kłodzki,157224,,341,,216.8880069200631,Poland
8,PL-t0209,t0209,legnicki,55288,,87,,157.35783533497323,Poland
9,PL-t0210,t0210,lubański,54140,,136,,251.20059106021426,Poland
10,PL-t0211,t0211,lubiński,105911,,240,,226.60535732832284,Poland
11,PL-t0212,t0212,lwówecki,45455,,101,,222.19777802221975,Poland
12,PL-t0213,t0213,milicki,37037,,226,,610.2006102006102,Poland
13,PL-t0214,t0214,oleśnicki,107296,,362,,337.38443185207274,Poland
14,PL-t0215,t0215,oławski,76923,,241,,313.3003133003133,Poland
15,PL-t0216,t0216,polkowicki,63050,,138,,218.8739095955591,Poland
16,PL-t0217,t0217,strzeliński,43478,,190,,437.00262201573213,Poland
17,PL-t0218,t0218,średzki,55372,,212,,382.86498591345804,Poland
18,PL-t0219,t0219,świdnicki,156463,,598,,382.19898634181885,Poland
19,PL-t0220,t0220,trzebnicki,85366,,249,,291.68521425391845,Poland
20,PL-t0221,t0221,wałbrzyski,55422,,130,,234.56389159539535,Poland
21,PL-t0222,t0222,wołowski,46729,,132,,282.47983051210167,Poland
22,PL-t0223,t0223,wrocławski,154105,,947,,614.5160767009506,Poland
23,PL-t0224,t0224,ząbkowicki,64220,,151,,235.12924322640922,Poland
24,PL-t0225,t0225,zgorzelecki,88586,,203,,229.15584855394758,Poland
25,PL-t0226,t0226,złotoryjski,43344,,54,,124.58471760797342,Poland
26,PL-t0261,t0261,Jelenia Góra,78762,,186,,236.15449074426755,Poland
27,PL-t0262,t0262,Legnica,99187,,209,,210.713097482533,Poland
28,PL-t0264,t0264,Wrocław,643617,,4087,,635.0049796695861,Poland
29,PL-t0265,t0265,Wałbrzych,110772,,268,,241.93839598454483,Poland
30,PL-t0401,t0401,aleksandrowski,54927,,57,,103.77410016931564,Poland
31,PL-t0402,t0402,brodnicki,78992,,118,,149.38221592059955,Poland
32,PL-t0403,t0403,bydgoski,119388,,427,,357.6573860019432,Poland
33,PL-t0404,t0404,chełmiński,51845,,102,,196.74028353746743,Poland
34,PL-t0405,t0405,golubsko-dobrzyński,44932,,75,,166.91889967061337,Poland
35,PL-t0406,t0406,grudziądzki,40198,,99,,246.28090949798496,Poland
36,PL-t0407,t0407,inowrocławski,159249,,372,,233.59644330576643,Poland
37,PL-t0408,t0408,lipnowski,65702,,75,,114.1517762016377,Poland
38,PL-t0409,t0409,mogileński,45495,,74,,162.6552368392131,Poland
39,PL-t0410,t0410,nakielski,86166,,111,,128.8211127358819,Poland
40,PL-t0411,t0411,radziejowski,40254,,65,,161.47463606101257,Poland
41,PL-t0412,t0412,rypiński,43447,,60,,138.0992933919488,Poland
42,PL-t0413,t0413,sępoleński,40865,,28,,68.5182919368653,Poland
43,PL-t0414,t0414,świecki,98974,,168,,169.7415482854083,Poland
44,PL-t0415,t0415,toruński,108995,,284,,260.56241111977613,Poland
45,PL-t0416,t0416,tucholski,48341,,88,,182.04009019259013,Poland
46,PL-t0417,t0417,wąbrzeski,34122,,48,,140.6717074028486,Poland
47,PL-t0418,t0418,włocławski,85938,,119,,138.4719216179106,Poland
48,PL-t0419,t0419,żniński,70060,,110,,157.00827861832715,Poland
49,PL-t0461,t0461,Bydgoszcz,346654,,925,,266.83667287843207,Poland
50,PL-t0462,t0462,Grudziądz,94027,,206,,219.08600721069482,Poland
51,PL-t0463,t0463,Toruń,201066,,640,,318.3034426506719,Poland
52,PL-t0464,t0464,Włocławek,109317,,140,,128.06791258450195,Poland
53,PL-t0601,t0601,bialski,110465,,147,,133.0738242882361,Poland
54,PL-t0602,t0602,biłgorajski,100554,,221,,219.78240547367582,Poland
55,PL-t0603,t0603,chełmski,77922,,200,,256.66692333359,Poland
56,PL-t0604,t0604,hrubieszowski,62500,,136,,217.6,Poland
57,PL-t0605,t0605,janowski,45455,,118,,259.59740402595975,Poland
58,PL-t0606,t0606,krasnostawski,62992,,132,,209.5504191008382,Poland
59,PL-t0607,t0607,kraśnicki,95035,,208,,218.86673330878097,Poland
60,PL-t0608,t0608,lubartowski,88180,,117,,132.68314810614652,Poland
61,PL-t0609,t0609,lubelski,155794,,555,,356.2396497939587,Poland
62,PL-t0610,t0610,łęczyński,57292,,158,,275.78021364239333,Poland
63,PL-t0611,t0611,łukowski,106719,,176,,164.91908657315005,Poland
64,PL-t0612,t0612,opolski,58824,,84,,142.79885760913913,Poland
65,PL-t0613,t0613,parczewski,34598,,61,,176.31076940863633,Poland
66,PL-t0614,t0614,puławski,112965,,355,,314.25662815916434,Poland
67,PL-t0615,t0615,radzyński,58608,,90,,153.56265356265357,Poland
68,PL-t0616,t0616,rycki,55858,,280,,501.2710802391779,Poland
69,PL-t0617,t0617,świdnicki,71828,,256,,356.4069722113939,Poland
70,PL-t0618,t0618,tomaszowski,82308,,146,,177.38251445788987,Poland
71,PL-t0619,t0619,włodawski,38191,,38,,99.49988217119216,Poland
72,PL-t0620,t0620,zamojski,106007,,260,,245.26682200232062,Poland
73,PL-t0661,t0661,Biała Podlaska,57260,,116,,202.58470136220748,Poland
74,PL-t0662,t0662,Chełm,61606,,136,,220.75771840405156,Poland
75,PL-t0663,t0663,Lublin,339667,,1530,,450.4411673786385,Poland
76,PL-t0664,t0664,Zamość,63307,,172,,271.69191400635003,Poland
77,PL-t0801,t0801,gorzowski,72095,,163,,226.09057493584857,Poland
78,PL-t0802,t0802,krośnieński,54688,,74,,135.3130485664131,Poland
79,PL-t0803,t0803,międzyrzecki,57377,,102,,177.7715809470694,Poland
80,PL-t0804,t0804,nowosolski,85973,,148,,172.14706942877416,Poland
81,PL-t0805,t0805,słubicki,46875,,104,,221.86666666666665,Poland
82,PL-t0806,t0806,strzelecko-drezdenecki,48829,,85,,174.0768805423007,Poland
83,PL-t0807,t0807,sulęciński,35144,,40,,113.81743683132257,Poland
84,PL-t0808,t0808,świebodziński,55556,,90,,161.9987040103679,Poland
85,PL-t0809,t0809,zielonogórski,75697,,139,,183.62682801167813,Poland
86,PL-t0810,t0810,żagański,78712,,145,,184.21587559711352,Poland
87,PL-t0811,t0811,żarski,95792,,186,,194.17070319024552,Poland
88,PL-t0812,t0812,wschowski,38732,,37,,95.5282453784984,Poland
89,PL-t0861,t0861,Gorzów Wielkopolski,123263,,173,,140.3503078782765,Poland
90,PL-t0862,t0862,Zielona Góra,141220,,325,,230.1373743095879,Poland
91,PL-t1001,t1001,bełchatowski,112735,,304,,269.65893466980083,Poland
92,PL-t1002,t1002,kutnowski,96070,,273,,284.1677943166441,Poland
93,PL-t1003,t1003,łaski,50000,,100,,200.0,Poland
94,PL-t1004,t1004,łęczycki,49587,,110,,221.83233508782544,Poland
95,PL-t1005,t1005,łowicki,77844,,122,,156.72370381789221,Poland
96,PL-t1006,t1006,łódzki wschodni,72447,,206,,284.3457976175687,Poland
97,PL-t1007,t1007,opoczyński,75893,,60,,79.0586747130829,Poland
98,PL-t1008,t1008,pabianicki,119134,,334,,280.356573270435,Poland
99,PL-t1009,t1009,pajęczański,51020,,94,,184.24147393179146,Poland
100,PL-t1010,t1010,piotrkowski,91295,,120,,131.44202858864122,Poland
101,PL-t1011,t1011,poddębicki,41121,,57,,138.61530604800467,Poland
102,PL-t1012,t1012,radomszczański,112211,,222,,197.8415663348513,Poland
103,PL-t1013,t1013,rawski,48469,,57,,117.60094080752646,Poland
104,PL-t1014,t1014,sieradzki,117460,,262,,223.05465690447812,Poland
105,PL-t1015,t1015,skierniewicki,38180,,96,,251.44054478784705,Poland
106,PL-t1016,t1016,tomaszowski,116147,,174,,149.81015437333724,Poland
107,PL-t1017,t1017,wieluński,76613,,226,,294.9891010663987,Poland
108,PL-t1018,t1018,wieruszowski,42105,,97,,230.3764398527491,Poland
109,PL-t1019,t1019,zduńskowolski,66414,,232,,349.32393772397387,Poland
110,PL-t1020,t1020,zgierski,166276,,468,,281.45974163439104,Poland
111,PL-t1021,t1021,brzeziński,30803,,68,,220.75771840405156,Poland
112,PL-t1061,t1061,Łódź,677758,,2107,,310.8779239787653,Poland
113,PL-t1062,t1062,Piotrków Trybunalski,72853,,112,,153.73423194652247,Poland
114,PL-t1063,t1063,Skierniewice,47945,,124,,258.62967984148503,Poland
115,PL-t1201,t1201,bocheński,107209,,483,,450.5218778274212,Poland
116,PL-t1202,t1202,brzeski,93248,,357,,382.8500343170899,Poland
117,PL-t1203,t1203,chrzanowski,124346,,391,,314.4451771669374,Poland
118,PL-t1204,t1204,dąbrowski,59130,,138,,233.38406900050737,Poland
119,PL-t1205,t1205,gorlicki,108696,,237,,218.0393022742327,Poland
120,PL-t1206,t1206,krakowski,280720,,1509,,537.5463094898831,Poland
121,PL-t1207,t1207,limanowski,132275,,385,,291.0602910602911,Poland
122,PL-t1208,t1208,miechowski,48626,,175,,359.8897709044544,Poland
123,PL-t1209,t1209,myślenicki,127604,,587,,460.016927369048,Poland
124,PL-t1210,t1210,nowosądecki,217391,,685,,315.1004411406176,Poland
125,PL-t1211,t1211,nowotarski,193939,,646,,333.09442659805404,Poland
126,PL-t1212,t1212,olkuski,111111,,385,,346.5003465003465,Poland
127,PL-t1213,t1213,oświęcimski,153383,,636,,414.6482987032461,Poland
128,PL-t1214,t1214,proszowicki,43103,,150,,348.00361923764007,Poland
129,PL-t1215,t1215,suski,84180,,224,,266.09645996673794,Poland
130,PL-t1216,t1216,tarnowski,201597,,610,,302.58386781549325,Poland
131,PL-t1217,t1217,tatrzański,68136,,245,,359.57496771163557,Poland
132,PL-t1218,t1218,wadowicki,160096,,520,,324.8051169298421,Poland
133,PL-t1219,t1219,wielicki,130129,,723,,555.6025175018635,Poland
134,PL-t1261,t1261,Kraków,781213,,6468,,827.9432113904915,Poland
135,PL-t1262,t1262,Nowy Sącz,83624,,283,,338.41959246149435,Poland
136,PL-t1263,t1263,Tarnów,108197,,330,,304.9992143959629,Poland
137,PL-t1401,t1401,białobrzeski,33333,,43,,129.00129001290014,Poland
138,PL-t1402,t1402,ciechanowski,89186,,210,,235.46296503935594,Poland
139,PL-t1403,t1403,garwoliński,109023,,294,,269.66786824798436,Poland
140,PL-t1404,t1404,gostyniński,44818,,58,,129.41228970502922,Poland
141,PL-t1405,t1405,grodziski,96698,,413,,427.1029390473433,Poland
142,PL-t1406,t1406,grójecki,98168,,226,,230.21758617879553,Poland
143,PL-t1407,t1407,kozienicki,59819,,126,,210.6354168408031,Poland
144,PL-t1408,t1408,legionowski,119424,,677,,566.8877277599142,Poland
145,PL-t1409,t1409,lipski,33670,,34,,100.98010098010099,Poland
146,PL-t1410,t1410,łosicki,30581,,20,,65.40008502011052,Poland
147,PL-t1411,t1411,makowski,44776,,47,,104.9669465785242,Poland
148,PL-t1412,t1412,miński,155012,,561,,361.90746522849844,Poland
149,PL-t1413,t1413,mławski,72437,,100,,138.05099603793641,Poland
150,PL-t1414,t1414,nowodworski,79401,,403,,507.55028274203096,Poland
151,PL-t1415,t1415,ostrołęcki,88596,,120,,135.4462955438169,Poland
152,PL-t1416,t1416,ostrowski,72131,,111,,153.88667840456947,Poland
153,PL-t1417,t1417,otwocki,124417,,670,,538.5116181872252,Poland
